"Filing Date","Document Type","Filed By","Description"
"August 09, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=168527296""><span style=""color:blue""><u>EXPARTE</u></span></a>","ORA/ZHANG/CPUC","The Office of Ratepayer Advocates (ORA) noticed an oral and written ex-parte communication that occurred on Tuesday, August 9, 2016 at 10:00 a.m. at the Commission’s offices in San Francisco, with Sean Simon, Advisor to Commissioner Liane Randolph. The meeting was initiated by ORA to discuss the Proposed Decision on 2016 Energy Efficiency Policy Guidance. ORA representatives present were Program Manager Mike Campbell, Analyst Daniel Buch, and Attorney Zhen Zhang. ORA’s presentation was accompanied by a handout outlining ORA’s positions."
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844150""><span style=""color:blue""><u>COMMENTS</u></span></a>","BlueGreen Alliance","COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=168527295""><span style=""color:blue""><u>EXPARTE</u></span></a>","ORA/ZHANG/CPUC","The Office of Ratepayer Advocates (ORA) noticed an oral and written ex-parte communication that occurred on Wednesday, August 3, 2016 at 10:15 a.m. with David Gamson and Jennifer Kalafut, Advisors to Commissioner Carla Peterman. The meeting was initiated by ORA to discuss the Proposed Decision on 2016 Energy Efficiency Policy Guidance (PD). ORA representatives present were Program Manager Mike Campbell and Analyst Daniel Buch.  ORA’s presentation was accompanied by a handout outlining ORA’s positions."
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166271174""><span style=""color:blue""><u>COMMENTS</u></span></a>","Opower, a Part of Oracle","COMMENTS IN RESPONSE TO PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166248734""><span style=""color:blue""><u>COMMENTS</u></span></a>","Cohen Ventures Inc.","COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCYROLLING PORTFOLIO BUSINESS PLAN FILINGS.  [Per the filer, the  page before the table of contents and page 14 are intentionally blank.]"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166248955""><span style=""color:blue""><u>COMMENTS</u></span></a>","Ecology Action of Santa Cruz","COMMENTS REGARDING PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166247517""><span style=""color:blue""><u>COMMENTS</u></span></a>","National Comfort Institute","COMMENTS REGARDING PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILING"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001659""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","OPENING COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001108""><span style=""color:blue""><u>COMMENTS</u></span></a>","Local Government Sustainable Energy Coalition","COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INTIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001217""><span style=""color:blue""><u>COMMENTS</u></span></a>","Center for Sustainable Energy","Comments on the Proposed Decision Providing Guidance for Initial Energy Efficiency Rolling Portfolio Business Plan Filings."
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001435""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","OPENING COMMENTS TO ADMINISTRATIVE LAW JUDGE’S PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001325""><span style=""color:blue""><u>COMMENTS</u></span></a>","University of California,California State University","JOINT COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001655""><span style=""color:blue""><u>COMMENTS</u></span></a>","NEXANT","OPENING COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001764""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165843811""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/Zhang/CPUC","COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844369""><span style=""color:blue""><u>COMMENTS</u></span></a>","SOUTHERN CALIFORNIA REGIONAL ENERGY NETWORK","COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844488""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Energy Efficiency Industry Council","OPENING COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844267""><span style=""color:blue""><u>COMMENTS</u></span></a>","TURN - The Utility Reform Network","COMMENTS ON THE PROPOSED DECISION OF ALJ FITCH PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844039""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company","OPENING COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844484""><span style=""color:blue""><u>COMMENTS</u></span></a>","Marin Clean Energy","COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844264""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company","OPENING COMMENTS ON PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 08, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844366""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","COMMENTS ON THE PROPOSED DECISION PROVIDING GUIDANCE FOR INITIAL ENERGY EFFICIENCY ROLLING PORTFOLIO BUSINESS PLAN FILINGS"
"August 05, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844249""><span style=""color:blue""><u>MOTION</u></span></a>","McHugh Energy Consultants Inc.","Motion for Party Status."
"August 05, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166248509""><span style=""color:blue""><u>COMMENTS</u></span></a>","McHugh Energy Consultants Inc.","Comments on Proposed Decision. "
"August 05, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001238""><span style=""color:blue""><u>MOTION</u></span></a>","Cohen Ventures Inc.","Motion for Party Status."
"August 05, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166001331""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","EMAIL RULING GRANTING PARTY STATUS TO THE CALIFORNIA HOUSING PARTNERSHIP CORPORATION "
"July 21, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165369557""><span style=""color:blue""><u>MOTION</u></span></a>","California Housing Partnership Corporation","Motion for Party Status."
"July 19, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950662""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>","ALJ/FITCH/CPUC","Proposed Decision providing guidance for initial Energy Efficiency Rolling Portfolio Business Plan filings. Opening comments, which shall not exceed 15 pages, are due no later than August 8, 2016. Reply comments, which shall not exceed 5 pages, are due 5 days after the last day for filing opening comments."
"July 19, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165370923""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling granting party status to the San Joaquin Valley Clean Energy Organization."
"July 19, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165371244""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling granting party status to Rural Hard to Reach Local Government Partnerships Working Group."
"July 14, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165844682""><span style=""color:blue""><u>MOTION</u></span></a>","Local Government Sustainable Energy Coalition","Motion for leave to file response to parties’ reply comments regarding the May 24, 2016 Administrative Law Judge Ruling seeking input on approaches for statewide and third-party programs."
"July 13, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164951190""><span style=""color:blue""><u>MOTION</u></span></a>","Rural Hard to Reach Local Government Partnerships Working Group","Motion for Party Status."
"July 11, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950603""><span style=""color:blue""><u>MOTION</u></span></a>","San Joaquin Valley Clean Energy Organization","Motion for Party Status."
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883735""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","Email Ruling granting party status to East Bay Energy Watch Strategic Advisory Committee."
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=167737817""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Joaquin Valley Clean Energy Organization","Reply comments on May 24, 2016 Ruling of Assigned Commissioner and Administrative Law Judge seeking input on approaches for statewide and third-party programs."
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165299281""><span style=""color:blue""><u>COMMENTS</u></span></a>","Redwood Coast Energy Authority,Sierra Business Council,Valley Vision,County of San Luis Obispo,San Joaquin Valley Clean Energy Organizaton,High Sierra Energy Foundation,Association of Monterey Bay Area Governments,RURAL HARD TO REACH WORKING GROUP:  Community Development Commission of Mendocino County","REPLY COMMENTS ON COMMENTS SUBMITTED ONRULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164951194""><span style=""color:blue""><u>COMMENTS</u></span></a>","National Association of Energy Service Companies","REPLY COMMENTS  ON THE RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE  AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950580""><span style=""color:blue""><u>COMMENTS</u></span></a>","Center for Sustainable Energy","Reply Comments in Response to the Ruling of Assigned Commissioner and Administrative Law Judge Seeking Input on Approaches for Statewide and Third-Party Programs"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950468""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","REPLY COMMENTS REGARDING RULING SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950469""><span style=""color:blue""><u>COMMENTS</u></span></a>","IBEW-NECA Labor Management Cooperation Committee","REPLY COMMENTS ON THE ASSIGNED COMMISSIONER AND ALJ RULING SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950801""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","REPLY COMMENTS TO ALJ RULING SEEKING COMMENTS ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164951241""><span style=""color:blue""><u>COMMENTS</u></span></a>","Cal UCONS Inc","REPLY COMMENTS ON THE RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950582""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","REPLY COMMENTS ON RULING OF THE ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164950911""><span style=""color:blue""><u>COMMENTS</u></span></a>","TURN - The Utility Reform Network","REPLY COMMENTS REGARDING STATEWIDE AND THIRD PARTY PROGRAMS [PHASE IIb]"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164941462""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENT ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164941021""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company","REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENT ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884636""><span style=""color:blue""><u>COMMENTS</u></span></a>","Marin Clean Energy","REPLY COMMENTS TO RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883769""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","REPLY COMMENTS TO RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883770""><span style=""color:blue""><u>COMMENTS</u></span></a>","PACIFIC GAS AND ELECTRIC COMPANY","REPLY COMMENTS ON STATEWIDE AND THIRD-PARTY ENERGY EFFICIENCY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884976""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company","REPLY COMMENTS ON RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883979""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Energy Efficiency Industry Council","REPLY COMMENTS TO RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884634""><span style=""color:blue""><u>COMMENTS</u></span></a>","PACIFIC GAS AND ELECTRIC COMPANY","REPLY COMMENTS ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884089""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Energy Efficiency Industry Council","REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENT ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884326""><span style=""color:blue""><u>COMMENTS</u></span></a>","Nexant, Inc.","REPLY COMMENTS ON ASSIGNED COMMISSIONER RULING SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164885294""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","REPLY COMMENTS ON RULING OF ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164885293""><span style=""color:blue""><u>COMMENTS</u></span></a>","TURN - The Utility Reform Network","REPLY COMMENTS REGARDING EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES [PHASE IIb]"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884972""><span style=""color:blue""><u>COMMENTS</u></span></a>","The Greenlining Institute","REPLY COMMENTS ON RULING OF THE ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE SEEKING INPUT ON APPROACHES FOR STATEWIDE AND THIRD-PARTY PROGRAMS"
"July 01, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884988""><span style=""color:blue""><u>COMMENTS</u></span></a>","Marin Clean Energy","REPLY COMMENTS TO ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENT ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"June 30, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884946""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling noticing Joint Agency IEPR Workshop on Energy Demand Forecast and Doubling of Energy Efficiency – Data and Analytical Needs."
"June 30, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=168257863""><span style=""color:blue""><u>EXPARTE</u></span></a>","Natural Resources Defense Council","Natural Resources Defense Council noticed an oral and written ex-parte communication that took place in the Commission’s office at 505 Van Ness Avenue, San Francisco, California, on June 27, 2016, at approximately 1:30 p.m. for one half hour and June 28, 2016, at approximately 1:30 p.m. for forty minutes. The meetings were with David Gamson, advisor to Commissioner Peterman.  On June 27, 2016, Peter Miller (Senior Scientist) suggested that the Commission conduct a broad independent assessment of effectiveness and opportunities for Evaluation, Measurement, and Verification.  On June 28, 2016, Lara Ettenson (Director of California Energy Efficiency Policy) provided an update on the California Energy Efficiency Coordinating Committee and business planning effort."
"June 29, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883739""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling granting party status to Robert Mowris & Associates."
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164102657""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","Comments on the Staff proposal on evaluation, measurement, and verification, pursuant to Ruling filed on June 8, 2016."
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=166248400""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Energy Efficiency Industry Council","Opening comments on Administrative Law Judge’s Ruling seeking comment on Evaluation, Measurement, and Verification and Energy Savings Performance Incentives issues. "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165370551""><span style=""color:blue""><u>COMMENTS</u></span></a>","National Association of Energy Service Companies","COMMENTS ON THE RULING OF THE ADMINISTRATIVE LAW JUDGE SEEKING COMMENT ON EVALUATION, MEASUREMENT AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=165299282""><span style=""color:blue""><u>COMMENTS</u></span></a>","Home Energy Analytics","COMMENTS IN RESPONSE TO ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENT ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164951228""><span style=""color:blue""><u>COMMENTS</u></span></a>","CALIFORNIA ENERGY EFFICIENCY COUNCIL INDUSTRY COUNCIL","OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENT ON EVALUATION, MEASUREMENT, AND VERIFICATION AND ENERGY SAVINGS PERFORMANCE INCENTIVE ISSUES"
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884609""><span style=""color:blue""><u>COMMENTS</u></span></a>","Robert Mowris & Associates Inc.","Opening comments regarding Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues.  "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884277""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","Comments on Administrative Law Judge’s Ruling seeking comment on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues. "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884276""><span style=""color:blue""><u>COMMENTS</u></span></a>","Marin Clean Energy","Comments on Administrative Law Judge’s Ruling seeking comment on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues. "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883946""><span style=""color:blue""><u>COMMENTS</u></span></a>","CodeCycle LLC","Comments on Administrative Law Judge’s Ruling seeking comment on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues. "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883945""><span style=""color:blue""><u>COMMENTS</u></span></a>","PACIFIC GAS AND ELECTRIC COMPANY","Comments on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues.  "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164885266""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company","Opening comments on Administrative Law Judge’s Ruling seeking comment on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues. "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164884935""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","Comments on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues.  "
"June 24, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164883985""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Opening comments on ALJ Ruling seeking comments on Evaluation, Measurement, and Verification and Energy Savings Performance Incentive Issues. "
"June 22, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=163482763""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling granting six motions for party status."
"June 22, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=168811009""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling partially granting request for extension of time to file reply comments on statewide/third party issues."
"June 21, 2016","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=164175745""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/Fitch/CPUC","EMAIL RULING GRANTING SIX MOTIONS FOR PARTY STATUS:  (1) CLEAResult Consulting, Inc.  (2) Energy Efficiency Inc.  (3) Synergy Companies.  (4) Institute of Heating and Air Conditioning Industries, Inc.  (5) Association of Monterey Bay Area Governments.  (6) California Municipal Utilities Association.  "
